"","Arrest","Age","Sex","Race","ArrestDate","ArrestTime","ArrestLocation","IncidentOffense","IncidentLocation","Charge","ChargeDescription","District","Post","Neighborhood","Location.1"
"41",16160342,22,"M","B","11/12/2016","05:00","","Unknown Offense","","2 0700","ROBBERY","",NA,"",""
"42",16160348,50,"M","W","11/12/2016","04:55","3900 6TH ST","Unknown Offense","3900 6TH ST","2 0254","VIOLATION OF PROTECTION ORDER","Southern",913,"Brooklyn","(39.2331826797, -76.6039602183)"
"43",16160337,36,"M","B","11/12/2016","04:55","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","1 1415","ASSAULT","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"44",16160346,26,"F","B","11/12/2016","04:00","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"45",16160334,23,"M","B","11/11/2016","23:28","600 E 33RD STREET ST","3CKROBB COMM-KNIFE","600 E 33RD ST","1 1415","ATTEMPTED ARMED ROBBERY","Northern",543,"Waverly","(39.3285208911, -76.6081206343)"
"46",16160331,33,"M","W","11/11/2016","23:28","600 E 33RD ST","3CKROBB COMM-KNIFE","600 E 33RD ST","1 1415","ATT. ARMED ROBBERY","Northern",543,"Waverly","(39.3285208911, -76.6081206343)"
"47",16160318,34,"M","B","11/11/2016","23:00","2300 SIDNEY AVE","4ECOMMON ASSAULT","2300 SIDNEY AVE","1 1415","COMMON ASSAULT","Southern",921,"Westport","(39.2625980889, -76.6332719994)"
"48",16160315,23,"M","B","11/11/2016","22:10","200 N CAROLINE ST","Unknown Offense","200 N CAROLINE ST","4 3550","CDS POSSESSION","Southeastern",212,"Dunbar-Broadway","(39.2943391418, -76.5973823524)"
"49",16160319,34,"M","W","11/11/2016","22:00","","Unknown Offense","","2 0705","ARMED ROBBERY","",NA,"",""
"50",16160289,49,"M","B","11/11/2016","21:35","3000 E NORTHERN PKWY","4ECOMMON ASSAULT","3000 E NORTHERN PKWY","1 1415","ASSAULT SECOND DEGREE","Northeastern",424,"North Harford Road","(39.3633873668, -76.5517575512)"
"51",16160303,39,"M","B","11/11/2016","21:10","6100 HOLABIRD AVE","Unknown Offense","6100 HOLABIRD AVE","1 0233","CDS","Southeastern",243,"Broening Manor","(39.2721356698, -76.5430282136)"
"52",16160302,37,"M","B","11/11/2016","21:10","6100 HOLABIRD AVE","Unknown Offense","6100 HOLABIRD AVE","3 0233","CDS","Southeastern",243,"Broening Manor","(39.2721356698, -76.5430282136)"
"53",16160311,20,"M","B","11/11/2016","20:50","4100 HYDEN CT","4AAGG. ASSLT.- GUN","800 GLADE CT","1 5299","AGGRAVATED ASSAULT","Southern",913,"Brooklyn","(39.2291207722, -76.5973960745)"
"54",16160294,22,"M","B","11/11/2016","20:45","3300 E LOMBARD ST","3KROBB RES. (UA)","100 S CLINTON ST","1 1338","ROBBERY","Southeastern",222,"Patterson Park Neighborhood","(39.2913281408, -76.5699455269)"
"55",16160282,31,"F","W","11/11/2016","20:30","400 N BRADFORD ST","Unknown Offense","400 N BRADFORD ST","4 3550","CDS COCAINE","Southeastern",221,"McElderry Park","(39.2959217847, -76.5842819690)"
"56",16160324,29,"M","B","11/11/2016","20:10","","Unknown Offense","","1 1477","FAIL REG OFFENDER/FALSE INFO","",NA,"",""
"57",16160275,41,"M","B","11/11/2016","19:30","4700 PARK HEIGHTS AVE","4CAGG. ASSLT.- OTH.","4700 PARK HEIGHTS AVE","1 1415","2ND DEGREE ASSAULT","Northwestern",614,"Central Park Heights","(39.3443090839, -76.6706077743)"
"58",16160269,49,"M","B","11/11/2016","19:00","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"59",16160259,29,"M","W","11/11/2016","19:00","","6DLARCENY- FROM AUTO","6200 DANVILLE AVE","1 0077","FAILURE TO APPEAR","",NA,"",""
"60",16160292,21,"M","B","11/11/2016","18:00","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"61",16160312,48,"M","B","11/11/2016","17:32","1900 N LONGWOOD ST","Unknown Offense","N LONGWOOD ST & W NORTH AV","1 1609","HGV","Southwestern",811,"Walbrook","(39.3095117650, -76.6676102088)"
"62",16160300,56,"M","W","11/11/2016","16:11","4000 EASTERN AVE","4ECOMMON ASSAULT","4000 EASTERN AVE","1 1415","COMMON ASSAULT","Southeastern",231,"Highlandtown","(39.2868011165, -76.5632104020)"
"63",16160232,36,"F","B","11/11/2016","16:10","6400 EASTBOURNE ST","4CAGG. ASSLT.- OTH.","EASTERN AV & GRUNDY ST","1 1415","AGG. ASSAULT","Southeastern",243,"Broening Manor","(39.2730635267, -76.5367336136)"
"64",16160248,24,"M","B","11/11/2016","16:05","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","1 0005","CHILD NEGLECT","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"65",16160233,50,"M","B","11/11/2016","16:00","200 S HIGH ST","6JLARCENY- OTHER","200 S HIGH ST","1 0521","THEFT UNDER $1000.00","Southeastern",211,"Little Italy","(39.2874267398, -76.6025749475)"
"66",16160252,54,"M","B","11/11/2016","16:00","3100 WESTWOOD ST","Unknown Offense","3100 WESTWOOD AVE","4 3550","CDS VIOLATION","Southwestern",813,"Rosemont","(39.3080145697, -76.6697499954)"
"67",16160215,24,"M","B","11/11/2016","16:00","4700 YORK RD","4CAGG. ASSLT.- OTH.","4700 YORK RD","1 1420","ASSAULT","Northern",521,"Kernewood","(39.3462855459, -76.6096389802)"
"68",16160261,29,"M","B","11/11/2016","15:50","900 WHITELOCK ST","Unknown Offense","1000 WHITELOCK ST","4 3550","CDS VIOLATION","Central",133,"Reservoir Hill","(39.3144502016, -76.6326940788)"
"69",16160240,31,"M","B","11/11/2016","15:00","2300 W LANVALE ST ST","Unknown Offense","2300 W LANVALE ST","4 3550","CDS","Western",721,"Evergreen Lawn","(39.2970572795, -76.6536017945)"
"70",16160192,31,"M","W","11/11/2016","14:20","1500 RUSSELL ST","Unknown Offense","1500 RUSSELL ST","2 2220","THEFT","Southern",941,"Carroll - Camden Industrial Area","(39.2743782847, -76.6276296924)"
"71",16160209,29,"M","W","11/11/2016","14:00","","Unknown Offense","","1 0088","VIOLATION OF PROBATION","",NA,"",""
"72",16160179,47,"M","B","11/11/2016","13:40","","Unknown Offense","","","DETAIN ONLY","",NA,"",""
"73",16160221,49,"M","B","11/11/2016","13:00","4300 E LOMBARD ST","4BAGG. ASSLT.- CUT","4300 E LOMBARD ST","1 1420","1ST DEGREE ASSAULT","Southeastern",241,"Kresson","(39.2916911559, -76.5607142998)"
"74",16160176,42,"M","W","11/11/2016","13:00","","Unknown Offense","","1 1415","ASSAULT-SEC DEGREE","",NA,"",""
"75",16160182,59,"M","B","11/11/2016","12:20","400 FALLSWAY ST","4DAGG. ASSLT.- HAND","300 N GAY ST","1 1415","AGGRAVATED ASSAULT","Central",111,"Penn-Fallsway","(39.2928128934, -76.6085877917)"
"76",16160175,37,"F","W","11/11/2016","12:00","","Unknown Offense","","","FUGITIVE FROM JUSTICE - PENNSY","",NA,"",""
"77",16160154,30,"M","B","11/11/2016","11:08","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"78",16160153,30,"M","B","11/11/2016","11:08","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"79",16160181,18,"F","B","11/11/2016","11:06","800 N N. LAKEWOOD ST","4CAGG. ASSLT.- OTH.","800 N LAKEWOOD AVE","1 1415","AGG ASSAULT WITH A DEADLY WEAP","Eastern",323,"Madison-Eastend","(39.3001220822, -76.5795839828)"
"80",16160167,44,"M","B","11/11/2016","11:00","","Unknown Offense","","","VOP","",NA,"",""
"81",16160151,23,"M","B","11/11/2016","09:30","1200 HARLEM AVE","Unknown Offense","1200 HARLEM AVE","1 1609","HGV","Western",713,"Harlem Park","(39.2967486901, -76.6372726759)"
"82",16160141,24,"F","B","11/11/2016","06:50","3600 BOWERS AVE","4BAGG. ASSLT.- CUT","3600 BOWERS AVE","1 1415","AGGRAVATED ASSAULT","Northwestern",623,"Grove Park","(39.3358564271, -76.7063306741)"
"83",16160137,32,"F","W","11/11/2016","04:30","700 KRISSON ST","4BAGG. ASSLT.- CUT","600 N KRESSON ST","2 3090","AGG ASSAULT","Eastern",333,"Orangeville","(39.3001347947, -76.5604689360)"
"84",16160131,29,"M","W","11/11/2016","03:30","","Unknown Offense","","","FUGITIVE FROM PENNSYLVANIA","",NA,"",""
"85",16160135,26,"F","B","11/11/2016","03:03","3300 RAVENWOOD AVE","Unknown Offense","3300 RAVENWOOD AVE","2 0050","DISORDERLY CONDUCT","Northeastern",434,"Four By Four","(39.3153506606, -76.5769694103)"
"86",16160130,27,"F","W","11/11/2016","01:25","","Unknown Offense","","2 0700","ROBBERY","",NA,"",""
"87",16160113,43,"M","W","11/11/2016","01:25","","Unknown Offense","","1 0077","FAILURE TO APPEAR","",NA,"",""
"88",16160123,21,"M","B","11/11/2016","01:20","4400 MARBLE HALL RD ST","4ECOMMON ASSAULT","4400 MARBLE HALL RD","1 1415","2ND DEG ASSAULT","Northeastern",413,"Original Northwood","(39.3429549334, -76.5945714879)"
"89",16160124,59,"M","B","11/11/2016","01:13","","75DESTRUCT. OF PROPERTY","1700 E 29TH ST","3 4025","MAL DEST PROP/VALU - $1,000","",NA,"",""
"90",16160134,30,"M","B","11/11/2016","01:00","600 ROBERT ST","Unknown Offense","600 ROBERT ST","4 3550","CDS","Central",123,"Upton","(39.3051166065, -76.6368124330)"
"91",16160106,66,"M","B","11/10/2016","21:05","400 S MONROE ST","Unknown Offense","400 S MONROE ST","3 0233","CDS","Southern",934,"Carrollton Ridge","(39.2830744716, -76.6466810111)"
"92",16160095,26,"M","B","11/10/2016","21:00","600 E FAYETTE ST","58INJURED PERSON","500 N ATHOL AV","1 5212","HANDGUN VIOLATION","Central",111,"Downtown","(39.2906666144, -76.6077063092)"
"93",16160102,19,"M","B","11/10/2016","20:41","1500 E ORLEANS ST","Unknown Offense","JEFFERSON ST & N CAROLINE ST","1 1106","HGV","Eastern",321,"Dunbar-Broadway","(39.2951958464, -76.5971916007)"
"94",16160087,25,"F","W","11/10/2016","20:40","1000 RUSSELL ST","Unknown Offense","1000 RUSSELL ST","2 0055","FAILURE TO OBEY","Southern",941,"Carroll - Camden Industrial Area","(39.2797459562, -76.6241826996)"
"95",16160098,54,"M","B","11/10/2016","20:30","1800 WILKENS AVE","Unknown Offense","1800 WILKENS AVE","1 0692","HGV","Southern",934,"Carrollton Ridge","(39.2826773194, -76.6450213840)"
"96",16160093,38,"M","B","11/10/2016","20:30","900 BENNETT PL","Unknown Offense","900 BENNETT PL","2A3550","CDS DIST","Western",713,"Harlem Park","(39.2950485351, -76.6325020135)"
"97",16159916,35,"M","B","11/10/2016","12:23","","Unknown Offense","","","FAILING TO REGISTER","",NA,"",""
"98",16160072,62,"M","B","11/10/2016","20:00","1200 W BALTIMORE ST","Unknown Offense","1200 W BALTIMORE ST","2A3550","CDS","Western",712,"Poppleton","(39.2886445043, -76.6368441548)"
"99",16160077,36,"F","B","11/10/2016","19:24","2000 MARYLAND AVE","4BAGG. ASSLT.- CUT","2000 MARYLAND AVE","1 1415","AGGRAVATE ASSAULT","Northern",514,"Charles North","(39.3123176688, -76.6180229670)"
"100",16160139,18,"M","B","11/10/2016","19:15","2800 HILLEN RD","6GLARCENY- FROM BLDG.","0 W MOUNT VERNON PL","2A3550","CDS DIST","Northeastern",411,"Coldstream Homestead Montebello","(39.3229768974, -76.5886659020)"
